,model_data
Gappy,"['Exceed', 'GALLOPER', 'Santamo', 'Super Exceed', 'Others']"
Genesis,"['Aero', 'Avalanche', 'GT', 'GTP', 'G90', 'GV60', 'GV70', 'GV80', 'Others']"
Giana,"['Electrified G80', 'G70', 'G70 Shooting Brake', 'G80', 'G90']"
Gillet,"['Smart 3500', 'Others']"
Giotti Victoria,"['Donkervoort', 'Vertigo', 'Others']"
Goupil,"['Acadia', 'Canyon', 'Envoy', 'Safari', 'Savana']"
Great Wall,"['G1', 'G4', 'G5', 'GEM', 'Others']"
Grecav,"['C20', 'C30', 'C50', 'Coolbear']"
HUMMER,"['Accord', 'H2', 'H3', 'HX', 'Others']"
Haima,"['Spano', 'Others']"
Hamann,"['2', '3', '3 HB']"
Haval,['Others']
Holden,"['H2', 'H6', 'H9', 'Others']"
Honda,"['Coupe 60', 'GTR-X', 'Hurricane', 'Monaro Convertible', 'Monaro Coupe', 'City', 'Civic', 'Clarity', 'Concerto', 'CR-V', 'CR-Z']"
Hurtan,"['H1', 'H2', 'H3', 'HX', 'Others']"
Hyundai,"['Albaycín', 'Author', 'Grand Albaycín', 'Others', 'Route 44', 'T2', 'CRETA']"
IZH,"['Campagnola', 'Daily', 'Massif', 'Others']"
Ineos,"['Grenadier', 'Others']"
Infiniti,"['Grenadier', 'Others']"
Innocenti,"['EX25', 'EX30', 'EX35', 'EX37', 'Minitre', 'Small', 'Others']"
Iso Rivolta,"['Clip', 'Elba', 'Mille', 'Mini', 'Minitre', 'Vision GT']"
Isuzu,"['300', 'Fidia', 'Grifo', 'Lele', 'Others', 'Gemini']"
Iveco,"['Axiom', 'Bighorn', 'Campo', 'D-Max', 'DLX']"
JAC,"['2106', '2125', 'J7', 'JS3', 'JS4', 'JS7', 'Others']"
Jaguar,"['e-S2', 'e-S4', 'J7', 'JS3', 'JS4', 'JS7', 'F-Type']"
Jeep,"['420', 'D-Type', 'Daimler', 'E-Pace', 'E-Type', 'Commander', 'Compass', 'Gladiator', 'Grand Cherokee', 'Liberty', 'Patriot', 'Renegade', 'Wagoneer', 'Willys', 'Wrangler', 'Others']"
Jensen,"['Cherokee', 'CJ-5', 'CJ-7', 'CJ-8', 'Comanche', 'Commander', 'Compass', 'Healey Mk.2', 'Interceptor', 'Mk II', 'Mk III', 'Mk IV', 'S-V8', 'SP', 'Others']"
KTM,"['Agera', 'CC', 'Jesko', 'One:1', 'Regera', 'Others']"
Karma,"['541', 'C-V8', 'Convertible', 'Coupé', 'FF', 'GT', 'Healey Mk.1', 'Healey Mk.2']"
Kia,"['GS-6', 'GSe-6', 'Pininfarina GT', 'Revero', 'Revero GT', 'Others']"
Koenigsegg,"['Besta', 'Carens', 'Carnival', ""Ceed / cee'd"", 'Regera', 'Others']"
LDV,"['Defender', 'Discovery', 'Discovery Sport', 'Freelander', 'LRX', 'Range Rover', 'Range Rover Evoque', 'Range Rover Sport']"
LEVC,"['Convoy', 'Maxus', 'Others']"
Lada,"['Others', 'X-Bow GT', 'X-Bow GT4', 'X-Bow R', 'X-Bow RR', 'X-Bow Street']"
Lamborghini,"['110', 'Aventador', 'Centenario', 'Countach', 'Diablo', 'Espada', 'Estoque', 'Gallardo', 'Huracan', 'Jalpa', 'LM', 'Miura', 'Murciélago', 'Reventon', 'Sian FKP 37', 'Terzo Millennio', 'Urraco P250', 'Urus', 'Veneno', 'Others']"
Lancia,"['Asterion', 'Aventador', 'Centenario', 'Countach', 'Diablo', 'Espada', 'Estoque', 'Fulvia', 'Gamma', 'HPE', 'K', 'Kappa', 'Lybra', 'MUSA', 'Phedra', 'Prisma', 'Stratos', 'Thema', 'Thesis', 'Trevi']"
Land Rover,"['A 112', 'Appia', 'Beta', 'Dedra', 'Delta', 'Flaminia', 'Range Rover Evoque', 'Range Rover Sport', 'Range Rover Velar', 'Series', 'Others']"
Lexus,"['TX', 'VN5', 'Others']"
Lifan,"['CT 200h', 'ES Series (all)', '   ES 300', '   ES 330', '650EV', '820', 'Breez (520)', 'C30E', 'C32E', 'Foison', 'M7', 'Seasion', 'Smily', 'Solano (620)', 'X50', 'X7', 'X70', 'X80', 'Others']"
Ligier,"['1022', '1025', '330EV', '650', '650EV', 'Due', 'IXO', 'JS 50', 'JS 60', 'Nova', 'Optima', 'Optimax', 'Prima', 'X-Pro', 'X-Too', 'Others']"
Lincoln,"['162', 'Ambra', 'Be-Sun', 'Be-Two', 'Be-Up', 'Mark', 'MKC', 'MKT', 'MKX', 'MKZ', 'Nautilus', 'Navigator', 'Town Car', 'Zephyr', 'Others']"
Linzda,"['Aviator', 'Continental', 'Corsair', 'Cosmopolitan', 'LS', 'Mark']"
Lorinser,"['M3', 'Others']"
Lotus,"['A-Klasse', 'B-Klasse', 'C-Klasse', 'E-Klasse', 'Elan', 'Elise', 'Elite', 'Emira', 'Esprit', 'Europa', 'Evija', 'Evora', 'Excel', 'Exige']"
Lucid,"['2-Eleven', '3-Eleven', '340 R', 'Cortina']"
Lynk & Co,"['Air', 'Others']"
MAN,"['Alturas G4', 'Bolero', 'CJ', 'Genio']"
MG,"['EHS', 'HS', 'Marvel R', 'Metro']"
MINI,"['Access', 'Cross', 'GT', 'Minauto', '   Cooper D']"
MP Lafer,"['21215', '2137', '2138', '2140']"
MPM Motors,"['Lafer', 'Others']"
Mahindra,"['01', 'Others']"
Mansory,"['TGE', 'Others']"
Martin,"['Aston Martin (all)', '   Aston Martin - Cyrus', '   Aston Martin - DB9']"
Martin Motors,"['Cobra', 'Roadster', 'Others']"
Maserati,"['Bubble', 'CEO', 'CoolCar', 'MM520', 'MM620', '420']"
Maxus,"['222', '224', '228', '3200', '418', 'EV80', 'G10', 'RV80', 'T60', 'V80', 'Others']"
Maybach,"['Deliver 9', 'eDeliver 3', 'eDeliver 9', 'EG10', 'Euniq 5', 'EV80']"
Mazda,"['57', '62', 'Pullman', '323']"
McLaren,"['12 C', '540C', '570GT', '570S', '600LT', '620R', '650S Coupe', '650S Spider', '675LT', '720S', '765LT Coupe', '765LT Spider', 'Elva', 'F1', 'GT', 'MP4-12C', 'P1', 'Senna', 'Speedtail', 'Others']"
Mega,"['12 C', '540C', '570GT', '570S', 'Maxi Concept', 'Others']"
Melex,"['Break', 'Cabriolet', 'Club', 'Fourgon Vitre', 'Maxi Concept', 'Others']"
